as_of_date,trading_date,symbol,company,closing_price,free_float_shares,ord_shares,free_float_pct,free_float_market_cap,avg_volume_6m,trading_days_ratio,listing_days_in_sample,is_defaulter_unknown,is_suspended_unknown,is_cdc_eligible_unknown,impact_cost_avg_6m_unknown,elig_listing_age,elig_free_float_min,elig_trading_ratio,elig_defaulter,elig_suspension,elig_cdc,elig_impact_cost,eligible,score_ff_mcap,score_liquidity_proxy,final_score,rank,is_constituent
2022-12-31,2022-12-30,TPLP,TPL Properties Limited,17.0,224722628.0,224722628.0,1.0,3820284676.0,7923561.68,0.6097560975609756,106,,,,,True,True,False,True,True,True,True,False,,,,,
2022-12-31,2022-12-30,TREET,Treet Corporation Ltd.,16.22,89360561.0,89360561.0,1.0,1449428299.42,846920.0,0.6097560975609756,106,,,,,True,True,False,True,True,True,True,False,,,,,
2022-12-31,2022-12-30,TRG,TRG Pakistan Ltd.,108.42,381773466.0,381773466.0,1.0,41391879183.72,7831705.918699187,1.0,182,,,,,True,True,True,True,True,True,True,True,0.4873464946582364,1.0,0.7436732473291182,1.0,True
2022-12-31,2022-12-30,UBL,United Bank Limited,100.75,489671875.0,489671875.0,1.0,49334441406.25,624480.9349593496,1.0,182,,,,,True,True,True,True,True,True,True,True,0.5851402823265724,0.07650985762380454,0.3308250699751885,12.0,True
2022-12-31,2022-12-30,UNITY,Unity Foods Limited.,14.12,477620000.0,477620000.0,1.0,6743994400.0,6508473.8373983735,1.0,182,,,,,True,True,True,True,True,True,True,True,0.060740093252321825,0.8304490582832972,0.4455945757678095,7.0,True
2023-06-30,2023-06-27,ATRL,Attock Refinery Limited,171.63,42646500.0,42646500.0,1.0,7319418795.0,1058853.9569892474,1.0,182,,,,,True,True,True,True,True,True,True,True,0.06114915746545644,0.15976463187554246,0.11045689467049945,24.0,True
2023-06-30,2023-06-27,AVN,Avanceon Limited.,44.04,112889356.0,112889356.0,1.0,4971647238.24,1108572.064516129,1.0,182,,,,,True,True,True,True,True,True,True,True,0.029100008927899695,0.16758461693515542,0.09834231293152755,25.0,True
2023-06-30,2023-06-27,BAHL,Bank Al-Habib Ltd.,43.22,722426520.0,722426520.0,1.0,31223274194.4,564531.623655914,1.0,182,,,,,True,True,True,True,True,True,True,True,0.3874578266840616,0.08201442267440504,0.23473612467923333,18.0,True
2023-06-30,2023-06-27,DGKC,D. G. Khan Cement Co. Ltd.,51.3,219059559.0,219059559.0,1.0,11237755376.7,2566371.053763441,1.0,182,,,,,True,True,True,True,True,True,True,True,0.11463790119159187,0.3968766572580726,0.2557572792248322,17.0,True
2023-06-30,2023-06-27,EFERT,Engro Fertilizers Limited,82.53,600884719.0,600884719.0,1.0,49591015859.07,1043711.0967741936,1.0,182,,,,,True,True,True,True,True,True,True,True,0.6381936698777931,0.15738286501972432,0.3977882674487587,10.0,True
