Date,SYMBOL,COMPANY,PRICE,IDX WT %,VOLUME
2020-01-15,POL,Pakistan Oilfields Limited,460.86,4.39,79300.0
2020-01-15,PPL,Pakistan Petroleum Limited.,148.16,7.23,1054400.0
2020-01-15,PSO,Pakistan State Oil Co Ltd.,213.78,3.31,2018200.0
2020-01-15,SEARL,The Searle Company Ltd.,189.57,1.33,241600.0
2020-01-15,SNGP,Sui Northern Gas Pipelines Limited,80.7,1.69,1193000.0
2020-01-15,TRG,TRG Pakistan Ltd.,28.42,1.13,9260500.0
2020-01-15,UBL,United Bank Limited,180.82,6.48,294800.0
2020-01-16,BAFL,Bank Alfalah Limited,52.48,2.73,1276000.0
2020-01-16,BAHL,Bank Al-Habib Ltd.,81.53,4.31,424000.0
2020-01-16,BOP,Bank Of Punjab.,14.13,1.15,60410500.0
2020-01-16,DGKC,D. G. Khan Cement Co. Ltd.,78.43,1.26,4138500.0
2020-01-16,EFERT,Engro Fertilizers Limited,75.16,3.3,588500.0
2020-01-16,ENGRO,Engro Corporation Limited.,360.02,8.34,205800.0
2020-01-16,EPCL,Engro Polymer & Chemicals Ltd.,34.04,0.79,3470000.0
2020-01-16,FCCL,Fauji Cement Company Limited,16.91,0.94,2276500.0
2020-01-16,FFC,Fauji Fertilizer Company Limited,103.06,5.27,657000.0
2020-01-16,HBL,Habib Bank Limited,170.32,9.13,617600.0
2020-01-16,HUBC,The Hub Power Company Limited,101.33,7.21,415500.0
2020-01-16,KAPCO,Kot Addu Power Company.,29.72,0.99,576500.0
2020-01-16,LOTCHEM,Lotte Chemical Pakistan Ltd.,14.45,0.4,3129000.0
2020-01-16,LUCK,Lucky Cement Limited.,486.83,4.6,194200.0
2020-01-16,MARI,Mari Petroleum Company Ltd.,1357.06,2.65,19880.0
2020-01-16,MCB,MCB Bank Limited,224.41,6.81,579900.0
2020-01-16,MEBL,Meezan Bank Limited,104.35,2.45,211500.0
2020-01-16,MLCF,Maple Leaf Cement Factory Ltd.,23.25,0.45,9055500.0
2020-01-16,MTL,Millat Tractors Limited,730.0,1.2,10200.0
2020-01-16,NBP,National Bank Of Pakistan.,44.64,1.65,966000.0
2020-01-16,NML,Nishat Mills Ltd.,113.01,1.31,948100.0
2020-01-16,OGDC,Oil & Gas Development Company Limited,149.96,7.07,2036900.0
2020-01-16,PAEL,Pak Elektron Limited,27.9,0.51,2565500.0
